Point ID,Station Number,POINT_X,POINT_Y
1,42,610713.883,7932041.073
2,64,507043.456,7971089.825
3,65,526381.183,7948022.515
4,66,624183.067,7895958.713
5,67,661203.741,7849890.274
6,70,523792.709,7988133.411
7,71,516730.625,7973849.846
8,72,537837.834,7960450.610
9,73,504397.600,7951267.394
10,74,592869.013,7878190.580
11,75,609640.866,7879327.564
12,76,627020.296,7870761.068
13,78,598051.469,7858858.543
14,79,635881.666,7860920.565
15,80,610431.681,7928876.538
16,81,665797.527,7899814.078
17,82,534737.000,7932979.766
18,83,529017.203,7946635.622
19,228,555234.763,7891713.334
20,392,505271.854,7932365.614
21,401,599843.492,7920482.508
22,478,660594.674,7876738.318
23,483,521178.518,8015334.858
25,508,605180.547,7885962.939
26,651,624183.687,7896050.936
