Point_ID,100m_Along_Riv_X,100m_Along_Riv_Y
1,525052.4587,8057435.847
2,525343.945,8057131.195
3,525635.4224,8056826.539
4,525926.8911,8056521.878
5,526218.3509,8056217.213
6,526509.8019,8055912.543
7,526801.244,8055607.869
8,526968.4422,8055249.734
9,526967.8653,8054819.406
10,527049.9361,8054424.643
11,527341.3483,8054119.96
12,527632.7516,8053815.273
13,527924.1461,8053510.581
14,528215.5317,8053205.886
15,528506.9085,8052901.185
16,530504.2361,8054536.468
17,530503.5832,8054106.139
18,530502.9303,8053675.81
19,530272.95,8053344.944
20,529980.6851,8053041.093
21,529688.4291,8052737.238
22,529305.0736,8052663.728
23,528892.405,8052664.326
24,535659.325,8054654.029
25,535950.6122,8054349.219
26,536241.8906,8054044.406
27,536533.1602,8053739.587
28,536824.4208,8053434.765
29,537115.6726,8053129.937
30,537406.9156,8052825.106
31,537698.1497,8052520.27
32,537989.3749,8052215.429
33,538280.5914,8051910.584
34,538571.799,8051605.735
35,538862.9976,8051300.881
36,539154.1874,8050996.022
37,539445.3684,8050691.159
38,539736.5405,8050386.292
39,540027.7038,8050081.42
40,538468.9879,8058210.595
41,538468.1663,8057780.265
42,538467.3445,8057349.935
43,538466.5225,8056919.604
44,538465.7003,8056489.274
45,538652.9825,8056139.751
46,538944.2473,8055834.898
47,539235.5032,8055530.041
48,539526.7502,8055225.18
49,539817.9885,8054920.314
50,540109.2178,8054615.443
51,540229.7627,8054237.258
52,540228.9016,8053806.926
53,540357.1166,8053432.038
54,540648.3158,8053127.158
55,540939.5062,8052822.274
56,541110.3238,8052465.688
57,541109.443,8052035.355
58,541029.9316,8051639.177
59,540737.5253,8051335.48
60,540445.1278,8051031.778
61,540222.6744,8050697.695
62,540221.8118,8050267.361
63,523426.4562,8050858.206
64,523425.9538,8050427.878
65,523425.4513,8049997.549
66,523654.4989,8049666.068
67,523945.8917,8049361.433
68,524237.2757,8049056.794
69,524307.8107,8048657.06
70,524307.2888,8048226.73
71,521624.0282,8046219.886
72,522036.5623,8046219.436
73,522449.0965,8046218.978
74,522766.8844,8046457.91
75,523058.9441,8046761.865
76,523351.0128,8047065.816
77,523643.0902,8047369.763
78,523935.1765,8047673.706
79,524227.2716,8047977.645
80,538297.8388,8047273.569
81,538588.9772,8046968.717
82,538880.1066,8046663.86
83,539171.2273,8046358.999
84,539517.6224,8046192.56
85,539930.1615,8046191.742
86,540512.1816,8049574.101
87,540803.3211,8049269.217
88,541094.4519,8048964.329
89,541102.277,8048537.735
90,541101.3945,8048107.4
91,540859.2368,8047781.893
92,540566.8879,8047478.193
93,540274.5479,8047174.489
94,540214.7938,8046769.739
95,540213.9295,8046339.403
96,540212.7672,8045760.839
97,540211.9024,8045330.503
98,542008.7253,8045265.529
99,541596.2043,8045266.39
100,541183.6835,8045267.244
101,540771.1629,8045268.089
102,540358.6425,8045268.925
103,539919.4762,8044965.511
104,539627.182,8044661.798
105,539334.8967,8044358.08
106,539042.6202,8044054.359
107,538750.3526,8043750.633
108,538458.0939,8043446.902
109,538165.844,8043143.168
110,537873.603,8042839.43
