PointID,POINT_X,POINT_Y
1,677190.7547,7960925.445
2,678139.7081,7960916.632
3,677182.0165,7959982.238
4,678130.9231,7959973.421
5,676224.4185,7959047.849
6,650569.3637,7954552.228
7,673274.9553,7947759.708
8,674223.2373,7947751.036
9,673266.357,7946817.16
10,674214.5919,7946808.484
11,673257.7553,7945874.658
12,672301.0129,7944940.838
13,672283.887,7943056.073
14,673231.9299,7943047.431
15,662795.5453,7942197.601
16,671301.7441,7939295.707
17,671293.2099,7938353.583
18,672241.0133,7938344.972
19,669389.1703,7937428.592
20,670336.9196,7937420.072
21,670328.4261,7936478.044
22,671276.1315,7936469.474
23,672223.8403,7936460.856
24,670319.9292,7935536.063
25,672215.2487,7935518.868
26,671259.0397,7934585.551
27,672206.6538,7934576.926
28,669355.3654,7933660.772
29,670302.9254,7933652.239
30,671250.4888,7933643.659
31,672198.0556,7933635.031
32,673145.6257,7933626.355
33,669346.9059,7932718.933
34,671241.9346,7932701.813
35,672189.454,7932693.182
36,673136.9768,7932684.503
37,670285.9085,7931768.602
38,671233.3771,7931760.015
39,665540.3388,7930869.089
40,670277.395,7930826.853
41,664584.7052,7929935.711
42,665532.0592,7929927.404
43,666479.4164,7929919.048
44,669321.5078,7929893.696
45,663629.1665,7929002.338
46,664576.4698,7928994.075
47,667418.3992,7928969
48,668365.7155,7928960.546
49,663620.9754,7928060.751
50,664568.2312,7928052.485
51,665515.4903,7928044.171
52,666462.7526,7928035.81
53,667410.0182,7928027.4
54,663612.7811,7927119.212
55,664559.9894,7927110.942
56,665507.201,7927102.625
57,666454.4158,7927094.26
58,667401.6339,7927085.848
59,657921.6854,7926226.35
60,658868.8272,7926218.364
61,663604.5836,7926177.719
62,664551.7444,7926169.446
63,665498.9085,7926161.126
64,666446.0758,7926152.758
65,667393.2464,7926144.342
66,668340.4203,7926135.878
67,662649.2728,7925244.5
68,663596.3829,7925236.272
69,665490.6128,7925219.673
70,666437.7326,7925211.302
71,667384.8556,7925202.882
72,661694.0571,7924311.287
73,662641.1165,7924303.104
74,663588.179,7924294.872
75,665482.3138,7924278.267
76,666429.3861,7924269.892
77,667376.4616,7924261.47
78,668323.5404,7924252.999
79,655056.9502,7923425.905
80,657897.9294,7923402.207
81,661685.9452,7923369.94
82,662632.957,7923361.754
83,663579.972,7923353.519
84,664526.9902,7923345.237
85,665474.0117,7923336.907
86,666421.0364,7923328.529
87,667368.0644,7923320.104
88,655996.1106,7922476.773
89,656943.056,7922468.87
90,657890.0046,7922460.92
91,658836.9563,7922452.922
92,660730.869,7922436.782
93,661677.8301,7922428.64
94,662624.7943,7922420.451
95,663571.7618,7922412.213
96,664518.7324,7922403.928
97,655041.383,7921543.395
98,655988.2779,7921535.538
99,656935.1758,7921527.632
100,657882.0768,7921519.679
101,658828.9809,7921511.678
102,660722.7984,7921495.532
103,661669.7119,7921487.387
104,662616.6285,7921479.194
105,663563.5484,7921470.953
106,653139.9095,7920617.788
107,654086.7507,7920610.023
108,655033.5949,7920602.21
109,655980.4422,7920594.35
110,656927.2925,7920586.441
111,657874.1458,7920578.485
112,658821.0023,7920570.481
113,659767.8619,7920562.428
114,660714.7246,7920554.328
115,661661.5905,7920546.18
116,662608.4596,7920537.984
117,663555.3318,7920529.741
118,651238.6355,7919692.048
119,652185.4231,7919684.376
120,653132.2136,7919676.656
121,654079.0072,7919668.888
122,655025.8038,7919661.072
123,655972.6034,7919653.209
124,656919.4061,7919645.297
125,657866.2119,7919637.338
126,658813.0207,7919629.33
127,659759.8327,7919621.275
128,660706.6478,7919613.172
129,661653.466,7919605.021
130,662600.2875,7919596.821
131,649337.5609,7918766.174
132,650284.295,7918758.595
133,651231.0319,7918750.968
134,652177.7719,7918743.293
135,653124.5148,7918735.57
136,654071.2607,7918727.8
137,655018.0097,7918719.981
138,655964.7617,7918712.114
139,656911.5167,7918704.2
140,657858.2748,7918696.237
141,658805.036,7918688.227
142,659751.8004,7918680.168
143,660698.5678,7918672.062
144,661645.3384,7918663.908
145,662592.1122,7918655.705
146,646490.0081,7917847.606
147,648383.3663,7917832.682
148,649330.0497,7917825.147
149,650276.7361,7917817.566
150,651223.4254,7917809.936
151,654063.5112,7917786.758
152,655010.2125,7917778.936
153,655956.9169,7917771.067
154,656903.6242,7917763.149
155,657850.3347,7917755.183
156,658797.0483,7917747.17
157,659743.7649,7917739.108
158,660690.4847,7917730.999
159,661637.2077,7917722.841
160,662583.9338,7917714.636
161,645536.0099,7916914.027
162,646482.637,7916906.634
