OBJECTID,Road_Intersect_X,Road_Intersect_Y
1,527344.2037,8054116.974
2,526207.906,8056228.131
3,535781.0831,8038706.117
4,524290.7448,8034632.568
5,526611.6995,8040111.231
6,580820.1118,8033597.662
7,523352.4315,8026856.96
8,548339.4707,8026811.744
9,548523.6023,8026811.294
10,514264.7927,8028105.825
11,517668.9517,8025468.279
12,598947.4485,8020169.045
13,597568.5556,8026413.99
14,597565.3618,8025765.767
15,599522.223,8020393.636
16,599902.3501,8018608.181
17,605479.1412,8019476.542
18,521644.2925,8014847.154
19,521597.1686,8014896.498
20,521555.935,8014939.674
21,521334.6646,8015171.364
22,519166.0597,8009344.114
23,519287.0373,8009931.711
24,524622.1735,8007874.856
25,548970.2881,8008370.372
26,518718.8761,8004989.262
27,519512.5046,8004157.998
28,519441.3294,8004232.553
29,518783.5572,8004921.517
30,519125.3064,8004563.571
31,519590.6029,8004076.191
32,518777.6865,8004927.666
33,520552.215,8003810.857
34,520030.2199,8003931.674
35,520042.289,8003811.386
36,518597.5607,8005116.321
37,518865.972,8004835.199
38,532178.2642,7996578.604
39,515719.1532,7996134.506
40,523851.0752,7987733.924
41,612347.9854,7982289.83
42,618461.8524,7989549.354
43,601315.4847,7980059.58
44,613309.527,7984961.278
45,610556.7975,7980830.431
46,639411.4631,7984215.166
47,644812.1641,7980337.976
48,639620.7083,7979345.491
49,496539.9634,7977478.988
50,497089.243,7977083.886
51,497031.2429,7977083.877
52,499559.6453,7977165.591
53,500952.3753,7976698.133
54,499610.2491,7977031.128
55,655284.9679,7976642.097
56,587081.6445,7976540.701
57,586314.5755,7976890.981
58,587624.8858,7975166.536
59,586500.3586,7976890.149
60,586814.9055,7976822.481
61,586527.0544,7972279.566
62,586737.1322,7973604.365
63,503499.877,7967863.787
64,505693.6415,7967863.261
65,587943.9279,7968217.443
66,587600.649,7969843.056
67,587597.11,7969066.879
68,587126.0753,7971861.351
69,511206.6543,7973183.377
70,601060.6611,7968246.836
71,600959.9835,7968353.398
72,601795.7723,7967468.706
73,602415.311,7966812.837
74,602508.0641,7966714.639
75,601795.3031,7967469.202
76,604735.1284,7970763.716
77,603440.5977,7968175.797
78,603445.0998,7969011.628
79,603510.6372,7969495.195
80,603445.5935,7969103.311
81,603698.7918,7969690.131
82,602962.959,7967093.773
83,603292.57,7967435.318
84,603189.8664,7967328.898
85,602698.2585,7966819.476
86,602650.7344,7966770.228
87,602857.4299,7966984.419
88,527603.9306,7966922.244
89,591465.9274,7965262.303
90,601703.731,7965788.794
91,602891.1778,7964821.921
92,603831.7204,7964816.849
93,602230.294,7964825.458
94,602588.1347,7964823.546
95,656335.8367,7970916.675
96,497493.5806,7965954.703
97,496919.2253,7966499.603
98,514530.7555,7975882.977
99,588470.9416,7967632.256
100,588469.589,7967338.821
101,645152.9516,7963626.171
102,636045.6903,7967675.863
103,645682.2347,7965191.866
104,638593.1414,7958141.237
105,644742.5192,7957358.561
106,645657.1666,7961895.492
107,488165.8153,7954279.501
108,489589.0999,7954031.111
109,602504.3717,7957757.735
110,602429.8341,7958392.971
111,602282.1077,7958607.88
112,602502.5283,7958374.408
113,603047.9949,7955941.817
114,602543.6727,7956476.094
115,601831.8509,7959731.814
116,601661.4586,7964729.931
117,601655.2084,7963551.971
118,601645.7418,7961769.06
119,602220.5809,7958673.048
120,601640.3083,7960746.42
121,601640.9522,7960867.571
122,601641.2354,7960920.879
123,601674.3002,7959251.631
124,605689.1655,7954331.786
125,606007.0509,7954666.508
126,606020.7723,7957135.629
127,589030.0858,7954096.424
128,589465.7356,7953635.489
129,590200.0794,7960916.522
130,590253.317,7960215.795
131,590677.332,7959767.273
132,591382.0523,7956241.451
133,488866.868,7953886.457
134,485639.7197,7952184.505
135,505487.0829,7952189.13
136,688439.453,7954947.102
137,680474.153,7949950.769
138,527340.408,7950326.233
139,625017.2173,7951779.427
140,627890.4969,7956502.835
141,653135.8975,7954340.926
142,594652.8675,7949071.693
143,594696.2061,7949025.8
144,597229.6775,7951905.092
145,597941.4852,7952716.317
146,597180.2536,7949054.047
147,597178.6495,7948740.31
148,597793.8436,7951307.585
149,597854.677,7951243.153
150,597274.6232,7949244.364
151,604280.6535,7952780.803
152,605979.7063,7950979.929
153,606472.2632,7948602.538
154,605265.816,7951736.664
155,605978.6629,7949567.278
156,605980.7636,7949944.206
157,605857.1547,7951109.842
158,607738.8282,7949740.071
159,703010.5372,7948986.053
160,529496.7489,7948478.949
161,597169.5553,7946962.503
162,597170.5087,7947148.801
163,597165.6797,7946205.312
164,597162.9945,7945680.869
165,671800.5126,7944035.525
166,528579.5787,7947987.029
167,679321.1091,7949154.716
168,513880.0519,7945072.862
169,540890.2573,7947661.405
170,599904.3352,7940861.993
171,600883.3601,7940856.8
172,599502.0044,7940864.113
173,599510.837,7940864.066
174,598838.0536,7940867.591
175,598910.3054,7940867.214
176,598355.8283,7940870.104
177,598116.8252,7940871.344
178,601182.7149,7942153.199
179,601132.7641,7942206.152
180,598038.6079,7944950.451
181,600136.5664,7942705.074
182,599970.7708,7942705.95
183,597444.5731,7946114.756
184,673651.5501,7942516.483
185,486368.8487,7949289.146
186,603030.7593,7939266.321
187,660847.698,7947899.431
188,500079.7625,7947202.446
189,674636.2217,7944009.621
190,504979.4391,7938511.366
191,612916.3077,7939823.523
192,612941.146,7937099.568
193,612959.5327,7940177.155
194,612824.598,7939728.466
195,612869.6236,7939775.136
196,612959.3943,7940153.981
197,612686.1011,7939584.913
198,612717.0174,7939616.958
199,612952.5526,7939861.091
200,612957.812,7939888.965
201,612958.179,7939950.421
202,612958.4235,7939991.384
203,612958.2405,7939960.72
204,612958.9146,7940073.623
205,612120.0113,7946881.759
206,612119.2941,7946760.301
207,612794.8099,7939697.591
208,612960.0956,7940271.443
209,612823.5793,7939727.411
210,612936.2166,7936275.231
211,612070.8844,7938578.441
212,612070.003,7938429.76
213,612968.3325,7941651.665
214,612967.5957,7941528.164
215,612935.2253,7936109.487
216,612153.7781,7952607.771
217,612153.346,7952534.406
218,612128.0652,7948246.102
219,612740.9853,7937312.443
220,612773.7034,7937277.706
221,612815.7131,7937233.104
222,612940.7414,7937031.887
223,612940.3996,7936974.724
224,612939.7824,7936871.496
225,612353.704,7937723.607
226,612249.7548,7937833.962
227,612067.7843,7938055.547
228,613591.5214,7935251.636
229,613979.6672,7935249.296
230,613613.4697,7935251.504
231,668401.0562,7935764.53
232,532955.4688,7935916.382
233,533861.735,7934672.182
234,534678.0544,7935502.193
235,608583.1865,7943578.486
236,608584.6058,7943826.255
237,610303.1879,7936950.313
238,610302.2208,7936784.699
239,610300.2227,7936442.593
240,610296.8745,7935869.434
241,610693.7153,7934846.205
242,607782.4648,7945357.812
243,608580.7737,7943157.347
244,608579.5431,7942942.578
245,608579.4673,7942929.355
246,608577.0115,7942500.852
247,611302.3526,7934484.386
248,586586.7628,7940484.856
249,590964.1714,7936699.209
250,590957.0689,7935225.073
251,607366.775,7933738.62
