Point_ID,Tributary_X,Tributary_Y
1,524760.9635,8057740.495
2,528733.1835,8052664.554
3,530504.8887,8054966.796
5,535368.0289,8054958.833
6,540221.0331,8049878.981
7,538469.8094,8058640.925
9,523426.9584,8051288.535
10,524307.0874,8048060.694
11,521211.4942,8046220.327
13,538006.6916,8047578.417
14,540213.6317,8046191.174
18,540211.7793,8045269.221
19,542421.2463,8045264.658
22,537555.2288,8042508.514
23,540648.0487,8042502.461
26,535781.2945,8038823.941
30,535776.3275,8036058.069
31,539754.2796,8037433.47
33,551246.1562,8040173.153
34,556091.5373,8035089.212
36,559624.9527,8035078.937
37,556542.3742,8038314.882
39,579506.2747,8036392.468
40,580825.8269,8035004.114
41,583931.2825,8038218.373
43,549469.8614,8036489.74
45,573315.4038,8034572.197
46,576401.8343,8033177.552
47,575530.7886,8036407.944
49,523415.0934,8041147.17
50,526054.4108,8032385.345
53,531357.2834,8034682.583
54,532235.3602,8031454.317
58,571085.5712,8028587.209
59,563617.7224,8040598.539
62,579916.4712,8028553.584
65,589220.1175,8035429.268
66,594929.3266,8028487.393
67,594944.7646,8031714.541
70,571965.3082,8027662.019
71,522956.7946,8026857.422
72,524281.2307,8026855.843
75,546800.0967,8028198.411
76,549004.2667,8026810.111
77,548572.9399,8030960.087
80,579909.0356,8026709.549
82,597569.6218,8026630.432
83,598477.842,8031697.338
85,514126.5835,8025943.731
86,515450.9529,8025942.742
87,514128.2271,8028248.618
90,531343.4478,8025923.962
91,539742.3042,8031440.712
93,558721.1492,8028166.683
94,558714.3177,8025861.713
95,569751.2093,8025825.907
99,554742.3516,8026334.089
102,518098.0073,8024096.582
103,518106.8438,8033777.105
105,588310.0592,8029440.027
106,599303.2965,8020167.258
110,583409.9773,8019318.767
112,600176.6938,8018318.673
113,575905.3835,8018888.05
115,599287.0486,8016940.045
118,601937.2885,8017387.559
119,601930.1328,8016004.458
122,604580.3276,8016451.614
123,605480.1976,8019674.168
126,520737.7832,8015796.311
127,517648.3429,8014877.355
129,549874.4563,8021737.013
130,554269.1822,8014810.448
134,588685.3966,8014685.458
136,606335.5831,8014598.008
138,522500.5992,8013950.436
142,589563.6932,8013759.416
143,591356.3876,8019744.604
145,606328.1075,8013214.889
147,581176.6496,8012873.766
149,518525.547,8009344.729
150,519848.8041,8009343.436
151,516762.7796,8011190.256
153,560000.8767,8013410.796
154,571898.0458,8009221.759
158,525140.659,8008415.393
161,604977.3009,8008150.566
162,613353.2761,8007181.813
165,544120.0902,8014374.822
166,555125.7334,8005588.013
170,526899.8615,8004725.141
172,572763.1469,8004608.387
174,527780.5203,8003801.929
177,567026.9368,8003706.84
179,518521.6263,8005195.849
182,596568.8735,8002661.237
183,607603.7529,8004447.866
184,613326.5858,8002571.3
188,530423.4326,8001954.027
189,541492.2391,8023600.353
192,575398.5252,8001832.278
193,577171.405,8004130.48
195,584678.4021,8006404.591
196,593918.5467,8001752.061
199,591268.4822,8000842.535
201,570544.8148,8000928.362
202,575391.4084,7999988.212
205,586414.1121,7999942.542
208,532182.5651,7999185.244
209,537039.9029,8003325.595
212,575387.8476,7999066.178
213,576710.4982,7999061.024
215,589053.2839,7998547.568
218,599186.6779,7997115.534
220,575377.1556,7996300.07
222,560386.5745,7995430.261
223,563047.7076,8000492.983
226,607112.121,7995229.356
227,605802.153,7997541.816
230,533056.4677,7994573.821
231,534381.179,7995954.519
233,571406.4044,7995392.98
235,592560.6574,7994381.853
237,543192.8845,7994092.969
238,546274.8483,7992702.873
239,544540.3707,8005153.949
241,522040.2034,7996894.373
242,532170.381,7991809.32
246,577122.1711,7991682.961
248,608854.8005,7991531.17
249,574033.6448,7990772.916
252,578881.301,7990753.841
253,582861.345,7993964.518
255,604001.6863,7990635.62
257,616350.3133,7991948.829
258,618545.7071,7990552.327
261,514987.3239,7996901.072
262,517185.2382,7989984.367
264,547149.5776,7989934.737
265,548934.2222,7998689.429
267,510142.7864,8005201.983
270,548028.6122,7989010.569
271,549801.7934,7993155.169
273,524676.8535,7990437.289
274,525995.7477,7988130.584
275,579310.6991,7987985.899
276,580632.6068,7987980.451
280,522469.8184,7987212.995
284,611472.8114,7986905.624
286,565641.79,7985270.834
287,566963.48,7985266.31
289,596041.4023,7985143.981
290,600006.7003,7985123.918
291,600013.8379,7986507.052
296,612343.411,7985056.305
298,549779.3238,7984396.065
299,551550.0403,7987618.508
301,612332.7114,7983212.069
303,519380.6412,7982145.361
306,584133.6802,7982433.116
307,587248.4103,7989334.95
310,567391.2009,7981576.637
311,579288.0542,7982453.583
312,584129.6691,7981511.052
315,610559.929,7981377.986
317,614521.8736,7980893.846
320,621132.4871,7981314.64
322,569149.8251,7980648.374
323,570920.1216,7982947.097
