"Point ID","Score Objective 1","Score Objective 2","Score Objective 3","Score Objective 4","Score Objective 5"
11,1,1,1,1,1
455,1,1,1,1,1
1205,1,1,1,1,1
1350,1,1,1,1,1
2380,1,1,1,1,1
2485,1,1,1,1,1
2630,1,1,1,1,1
2828,1,1,1,1,1
3300,1,1,1,1,1
3379,1,1,1,1,1
4465,1,1,1,1,1
4988,1,1,1,1,1
5089,1,1,1,1,1
5113,1,1,1,1,1
5459,1,1,1,1,1
5725,1,1,1,1,1
6319,1,1,1,1,1
6815,1,1,1,1,1
7688,1,1,1,1,1
7955,1,1,1,1,1
8559,1,1,1,1,1
9340,1,1,1,1,1
9615,1,1,1,1,1
9906,1,1,1,1,1
10198,1,1,1,1,1
10743,1,1,1,1,1
11466,1,1,1,1,1
11732,1,1,1,1,1
12231,1,1,1,1,1
12331,1,1,1,1,1
1,1,0,1,1,1
2,0,0,1,1,1
3,0,1,1,1,1
4,0,0,1,1,0
5,0,1,1,0,1
6,0,1,1,1,1
7,0,1,1,1,1
8,0,1,1,1,1
9,0,0,1,1,1
10,0,1,1,1,1
11,0,1,1,1,1
12,0,1,1,1,1
13,0,1,1,1,1
14,0,1,1,1,1
15,1,1,1,1,1
16,0,1,1,0,1
17,0,1,1,1,1
18,0,1,1,1,1
19,0,1,1,1,1
20,0,0,1,1,1
21,0,1,1,1,1
22,0,1,1,0,1
23,1,0,1,1,1
24,0,1,1,1,1
25,0,0,1,1,0
